question,gold_papers,retrieved_papers,hit_rate@5,ndcg@5
What are the main characteristics of uterine electromyography (EMG) signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper7', 'paper6', 'paper10']",1,0.5531464700081437
What physiological activity generates uterine EMG signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper5', 'paper7', 'paper6']",1,0.7227265726449519
How do uterine EMG signals change as pregnancy progresses?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper2', 'paper1', 'paper4', 'paper6']",1,0.5296347172140421
How does uterine electrical activity change during the transition from pregnancy to labor?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper1', 'paper4', 'paper7', 'paper2', 'paper5']",1,0.830419897363192
What differences in uterine EMG activity have been observed between laboring and non-laboring women?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper7', 'paper1', 'paper2', 'paper4', 'paper5']",1,0.6608397947263839
What frequency components are commonly observed in uterine EMG signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper6', 'paper10', 'paper7']",1,0.5531464700081437
What frequency bands have been used for analyzing uterine EMG or EHG signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper1', 'paper6', 'paper10', 'paper8']",1,0.5531464700081437
What is the significance of the dominant or peak frequency in uterine EMG analysis?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper10', 'paper1', 'paper7', 'paper5']",1,0.639945385422766
How is power spectral density used to characterize uterine EMG signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper10', 'paper7', 'paper6', 'paper1']",1,0.4703652827859579
What spectral features of uterine EMG have been investigated for assessing uterine activity?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper7', 'paper1', 'paper6', 'paper10']",1,0.5087403079104241
What time-domain features are commonly extracted from uterine EMG signals?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper1', 'paper2', 'paper10', 'paper7', 'paper4']",1,0.6843515475204855
How is root mean square (RMS) used in uterine EMG analysis?,"['paper1', 'paper2', 'paper3', 'paper4', 'paper5']","['paper2', 'paper7', 'paper5', 'paper10', 'paper6']",1,0.5087403079104241
